90988644_00,Promotion Order,,VC_12363150_1,1002206,100082321,78422,760,2160,10660173882486751,1,2025-02-06 13:54:27,1057348;1056756,89013,N,12,0,12,785264,9423168,8,753853.44,785264,N,N,,Y,Y,0;0,,1000105,
90988644_00,Promotion Order,,VC_12363150_1,1002206,100082321,78422,760,2160,11588602,2,2025-02-06 13:54:27,1056756,E2439,N,8,8,0,0,0,0,0,0,N,Y,10660173882486751;10660173882486753;10660173882486755,Y,N,0,,1000105,
90988644_00,Promotion Order,,VC_12363150_1,1002206,100082321,78422,760,2160,10660173882486752,3,2025-02-06 13:54:27,1057348,79006,N,240,10,0,52169,12520560,8,1001644.8,52169,N,N,,N,Y,0,,1000105,
90988644_00,Promotion Order,,VC_12363150_1,1002206,100082321,78422,760,2160,10660173882486753,4,2025-02-06 13:54:27,1057348;1056756,89017,N,12,0,12,785264,9423168,8,753853.44,785264,N,N,,Y,Y,0;0,,1000105,
90988644_00,Promotion Order,,VC_12363150_1,1002206,100082321,78422,760,2160,10660173882486754,5,2025-02-06 13:54:27,1057348;1057447,77010,N,144,3,0,15619,2249136,8,179930.88,15619,Y,N,,Y,Y,0;179930.56,,1000105,
90988644_00,Promotion Order,,VC_12363150_1,1002206,100082321,78422,760,2160,10660173882486755,6,2025-02-06 13:54:27,1057348;1056756,83008,N,12,0,12,825394,9904728,8,792378.24,825394,N,N,,Y,Y,0;0,,1000105,
90988644_00,Promotion Order,,VC_12363150_1,1002206,100082321,78422,760,2160,10660173882486756,7,2025-02-06 13:54:27,1057348;1057447,77009,N,480,10,0,11343,5444640,8,435571.2,11343,Y,N,,Y,Y,0;435570.37,,1000105,
90988644_00,Promotion Order,,VC_12363150_1,1002206,100082321,78422,760,2160,10660173882486757,8,2025-02-06 13:54:27,1057348;1057449,35027,N,240,5,0,19951,4788240,8,383059.2,19951,Y,N,,Y,Y,0;383058.33,,1000105,
90988644_00,Promotion Order,,VC_12363150_1,1002206,100082321,78422,760,2160,10660173882486758,9,2025-02-06 13:54:27,1057348,65002,N,240,10,0,35185,8444400,8,675552,35185,N,N,,N,Y,0,,1000105,
90988644_00,Promotion Order,,VC_12363150_1,1002206,100082321,78422,760,2160,10660173882486759,10,2025-02-06 13:54:27,1057348,10030,N,3,0,3,408775,1226325,8,98106,408775,N,N,,N,Y,0,,1000105,
90988644_00,Promotion Order,,VC_12363150_1,1002206,100082321,78422,760,2160,11588611,11,2025-02-06 13:54:27,1057447,,Y,1,0,1,615500.93,615500.93,8,49240.07,0,N,N,,Y,Y,615500.93,,1000105,
90988644_00,Promotion Order,,VC_12363150_1,1002206,100082321,78422,760,2160,11588612,12,2025-02-06 13:54:27,1057449,,Y,1,0,1,383058.33,383058.33,8,30644.67,0,N,N,,Y,Y,383058.33,,1000105,